topo,A,B,maxbond,value
QTT_Seq,15.0,5.0,12,0.03402983025312854
QTT_Seq,15.0,5.0,15,0.020832859565617833
QTT_Seq,15.0,5.0,18,0.029690133859687034
QTT_Seq,15.0,5.0,21,0.02309431307345823
QTT_Seq,15.0,5.0,24,0.024774479033405006
QTT_Seq,15.0,5.0,27,0.02793197012568868
QTT_Seq,15.0,5.0,30,0.030859962403084706
QTT_Seq,15.0,10.0,3,0.013426941647247956
QTT_Seq,15.0,10.0,6,0.013714065918546651
QTT_Seq,15.0,10.0,9,0.0097556268874722
QTT_Seq,15.0,10.0,12,0.00995909204202129
QTT_Seq,15.0,10.0,15,0.015998389934873528
QTT_Seq,15.0,10.0,18,0.01568029763639623
QTT_Seq,15.0,10.0,21,0.015282071690363932
QTT_Seq,15.0,10.0,24,0.01444454508458795
QTT_Seq,15.0,10.0,27,0.011728871134736746
QTT_Seq,15.0,10.0,30,0.009614575028803786
QTT_Seq,30.0,0.5,3,0.11528245428866035
QTT_Seq,30.0,0.5,6,0.12961100992189864
QTT_Seq,30.0,0.5,9,0.12341898661702716
QTT_Seq,30.0,0.5,12,0.12468161113734402
QTT_Seq,30.0,0.5,15,0.11933369502866321
QTT_Seq,30.0,0.5,18,0.11945794998390269
QTT_Seq,30.0,0.5,21,0.12630280950319442
QTT_Seq,30.0,0.5,24,0.12123272046314024
QTT_Seq,30.0,0.5,27,0.12267301180590597
QTT_Seq,30.0,0.5,30,0.12073183672816869
QTT_Seq,30.0,2.0,3,0.03181415054798372
QTT_Seq,30.0,2.0,6,0.034844706910422296
QTT_Seq,30.0,2.0,9,0.033954111773167095
QTT_Seq,30.0,2.0,12,0.03195649403211097
QTT_Seq,30.0,2.0,15,0.03672575886620228
QTT_Seq,30.0,2.0,18,0.029876463038632308
QTT_Seq,30.0,2.0,21,0.035351133492427765
QTT_Seq,30.0,2.0,24,0.03434881733479305
QTT_Seq,30.0,2.0,27,0.03247735839917592
QTT_Seq,30.0,2.0,30,0.03482122420719619
QTT_Seq,30.0,5.0,3,0.011702873822103886
QTT_Seq,30.0,5.0,6,0.009677309039112443
QTT_Seq,30.0,5.0,9,0.013803666834047547
QTT_Seq,30.0,5.0,12,0.011172460540404619
