gf_name,topology,T,eta,maxbond,error_l1,mem_bytes
gf,BTTN,50.0,2.0,30,0.0054182251399496105,350760
gf,CTTN,50.0,2.0,30,0.014931697334400916,348056
gf,QTT_Int,50.0,2.0,30,8.048090946338769e-18,223888
gf,ITTN,50.0,2.0,30,6.579184256032676e-18,197648
gf,QTT_Seq,50.0,2.0,35,0.01683893232257778,712440
gf,BTTN,50.0,2.0,35,0.008602509652124722,389000
gf,CTTN,50.0,2.0,35,0.016480815945620945,377176
gf,QTT_Int,50.0,2.0,35,5.684897889861359e-18,223888
gf,ITTN,50.0,2.0,35,3.672716633748761e-18,197648
gf,QTT_Seq,50.0,2.0,40,0.013427106312893405,805624
gf,BTTN,50.0,2.0,40,0.008781907715940385,411464
gf,CTTN,50.0,2.0,40,0.014083405768780812,316440
gf,QTT_Int,50.0,2.0,40,6.3308159047413396e-18,223888
gf,ITTN,50.0,2.0,40,7.136866120313488e-18,197648
gf,QTT_Seq,50.0,2.0,45,0.01815099151446439,817272
gf,BTTN,50.0,2.0,45,0.003539595587249447,428104
gf,CTTN,50.0,2.0,45,0.020397192855156118,379672
gf,QTT_Int,50.0,2.0,45,6.251402706140764e-18,223888
gf,ITTN,50.0,2.0,45,6.2701314649707566e-18,197648
gf,QTT_Seq,50.0,2.0,50,0.017356489229296397,838904
gf,BTTN,50.0,2.0,50,0.007775655402779066,414792
gf,CTTN,50.0,2.0,50,0.01523128689535343,338072
gf,QTT_Int,50.0,2.0,50,4.895692544683675e-18,223888
gf,ITTN,50.0,2.0,50,5.224327358975614e-18,197648
gf,QTT_Seq,50.0,2.0,55,0.014056934416805979,769016
gf,BTTN,50.0,2.0,55,0.006896486350418341,442248
gf,CTTN,50.0,2.0,55,0.01602456718666604,331416
gf,QTT_Int,50.0,2.0,55,7.295362079216427e-18,223888
gf,ITTN,50.0,2.0,55,6.857090120387884e-18,197648
gf,QTT_Seq,50.0,2.0,60,0.015926409302835603,932920
gf,BTTN,50.0,2.0,60,0.0036777457104752178,458056
gf,CTTN,50.0,2.0,60,0.012836428638880657,338072
gf,QTT_Int,50.0,2.0,60,8.965605139255881e-18,223888
gf,ITTN,50.0,2.0,60,7.419029200909259e-18,197648
gf,QTT_Seq,50.0,5.0,5,0.009429020046485256,258832
gf,BTTN,50.0,5.0,5,0.005845877791653536,228256
gf,CTTN,50.0,5.0,5,0.009476589974710459,259664
gf,QTT_Int,50.0,5.0,5,3.832873160589922e-6,220560
gf,ITTN,50.0,5.0,5,2.7442684904123476e-18,197648
gf,QTT_Seq,50.0,5.0,10,0.007275866188005984,390488
gf,BTTN,50.0,5.0,10,0.006379151965800422,268392
gf,CTTN,50.0,5.0,10,0.009645514463708697,340568
gf,QTT_Int,50.0,5.0,10,8.530974809945945e-7,220560
gf,ITTN,50.0,5.0,10,3.1040144746288575e-18,197648
gf,QTT_Seq,50.0,5.0,15,0.006298975316956654,437912
gf,BTTN,50.0,5.0,15,0.007410598669742513,300840
gf,CTTN,50.0,5.0,15,0.009929171088852638,353048
gf,QTT_Int,50.0,5.0,15,4.579264493973486e-8,220560
gf,ITTN,50.0,5.0,15,2.398457137701205e-18,197648
gf,QTT_Seq,50.0,5.0,20,0.010682946901237571,535256
gf,BTTN,50.0,5.0,20,0.00825811948138916,311656
gf,CTTN,50.0,5.0,20,0.0043694237305746285,344728
gf,QTT_Int,50.0,5.0,20,1.4592529014055694e-6,220560
gf,ITTN,50.0,5.0,20,2.131186028706383e-18,197648
gf,QTT_Seq,50.0,5.0,25,0.010395093956723816,586840
gf,BTTN,50.0,5.0,25,0.011518798189986438,348264
gf,CTTN,50.0,5.0,25,0.006893800937198553,333080
gf,QTT_Int,50.0,5.0,25,1.7110637441993832e-7,220560
gf,ITTN,50.0,5.0,25,1.1331952334802996e-18,197648
gf,QTT_Seq,50.0,5.0,30,0.006181118042633111,660056
gf,BTTN,50.0,5.0,30,0.005209626436150868,359080
gf,CTTN,50.0,5.0,30,0.007317640388117006,330584
gf,QTT_Int,50.0,5.0,30,1.611404281011405e-7,220560
gf,ITTN,50.0,5.0,30,1.3346567989564457e-18,197648
gf,QTT_Seq,50.0,5.0,35,0.006949406616346751,684984
gf,BTTN,50.0,5.0,35,0.00701588941464591,379016
gf,CTTN,50.0,5.0,35,0.00764589802600456,344728
gf,QTT_Int,50.0,5.0,35,1.6757179031098472e-6,220560
gf,ITTN,50.0,5.0,35,2.5913770251734112e-18,197648
gf,QTT_Seq,50.0,5.0,40,0.00801879861154899,704952
gf,BTTN,50.0,5.0,40,0.0046447669742280765,406472
gf,CTTN,50.0,5.0,40,0.004424134451797126,368024
gf,QTT_Int,50.0,5.0,40,0.0004555531369449896,220560
gf,ITTN,50.0,5.0,40,2.164669681895836e-18,197648
gf,QTT_Seq,50.0,5.0,45,0.010354152908076756,788152
