topo,eta,time,maxbond,value
QTT_Alt2,0.0,100.0,100,0.06810849722374145
QTT_Alt2,0.0,100.0,150,0.006671745256167411
QTT_Alt2,0.0,100.0,200,0.0009217025306365452
QTT_Alt2,0.0,100.0,250,9.733684654479503e-5
QTT_Alt2,0.0,100.0,300,1.6973090243023468e-5
QTT_Alt2,0.0,200.0,20,3.3375005301024583
QTT_Alt2,0.0,200.0,50,1.7099736058317971
QTT_Alt2,0.0,200.0,100,0.236127867499476
QTT_Alt2,0.0,200.0,150,0.049574811127817975
QTT_Alt2,0.0,200.0,200,0.011348237754548128
QTT_Alt2,0.0,200.0,250,0.0017039822429370073
QTT_Alt2,0.0,200.0,300,0.0003226239843598188
QTT_Alt2,1.0,10.0,20,0.3294788504796867
QTT_Alt2,1.0,10.0,50,0.11882631622393182
QTT_Alt2,1.0,10.0,100,0.011645064484400912
QTT_Alt2,1.0,10.0,150,0.0011504395038652428
QTT_Alt2,1.0,10.0,200,0.00014088142918779816
QTT_Alt2,1.0,10.0,250,1.35473933876573e-5
QTT_Alt2,1.0,10.0,300,2.0448702135153407e-6
QTT_Alt2,1.0,50.0,20,0.17516303424189636
QTT_Alt2,1.0,50.0,50,0.13631980934860988
QTT_Alt2,1.0,50.0,100,0.03320463496629468
QTT_Alt2,1.0,50.0,150,0.010688732962707349
QTT_Alt2,1.0,50.0,200,0.00411641672847032
QTT_Alt2,1.0,50.0,250,0.001269842062186392
QTT_Alt2,1.0,50.0,300,0.0005286285071258705
QTT_Alt2,1.0,100.0,20,0.14538724547538184
QTT_Alt2,1.0,100.0,50,0.16277438651217366
QTT_Alt2,1.0,100.0,100,0.07657362674878192
QTT_Alt2,1.0,100.0,150,0.02883183795086837
QTT_Alt2,1.0,100.0,200,0.014928889735045869
QTT_Alt2,1.0,100.0,250,0.005988791622151556
QTT_Alt2,1.0,100.0,300,0.0034877007910642742
QTT_Alt2,1.0,200.0,20,0.21068540419165374
QTT_Alt2,1.0,200.0,50,0.378988609799864
QTT_Alt2,1.0,200.0,100,0.16386800798922238
QTT_Alt2,1.0,200.0,150,0.15611039583884584
QTT_Alt2,1.0,200.0,200,0.06952067157307087
QTT_Alt2,1.0,200.0,250,0.036790197316674635
QTT_Alt2,1.0,200.0,300,0.02286457716628383
QTT_Alt,0.001,10.0,20,1.7227606075942345
QTT_Alt,0.001,10.0,50,0.45484889594308175
QTT_Alt,0.001,10.0,100,0.01776053194421731
QTT_Alt,0.001,10.0,150,0.0009402477870658558
QTT_Alt,0.001,10.0,200,8.439587442307545e-5
QTT_Alt,0.001,10.0,250,8.801706559215723e-6
QTT_Alt,0.001,10.0,300,9.881746841662397e-7
QTT_Alt,0.001,50.0,20,1.0157134507789665
QTT_Alt,0.001,50.0,50,0.27834638152490704
QTT_Alt,0.001,50.0,100,0.03751344455080098
QTT_Alt,0.001,50.0,150,0.009037424659928019
QTT_Alt,0.001,50.0,200,0.0026452543253561605
QTT_Alt,0.001,50.0,250,0.0007486849025900306
QTT_Alt,0.001,50.0,300,0.00021666498375500325
QTT_Alt,0.001,100.0,20,1.4917472705716106
QTT_Alt,0.001,100.0,50,0.6114397645645877
QTT_Alt,0.001,100.0,100,0.11172749096647884
QTT_Alt,0.001,100.0,150,0.047829966982424005
QTT_Alt,0.001,100.0,200,0.011246621759742776
QTT_Alt,0.001,100.0,250,0.005489713213933117
QTT_Alt,0.001,100.0,300,0.0018857973977391884
QTT_Alt,0.001,200.0,20,2.6429729692369444
QTT_Alt,0.001,200.0,50,1.0911403972326608
QTT_Alt,0.001,200.0,100,0.33029861785031633
QTT_Alt,0.001,200.0,150,0.15185012696339018
QTT_Alt,0.001,200.0,200,0.08534269251495369
QTT_Alt,0.001,200.0,250,0.03777556930974065
QTT_Alt,0.001,200.0,300,0.020427478584086722
QTT_Alt,0.01,10.0,20,1.6138089810022958
QTT_Alt,0.01,10.0,50,0.3217782733230491
QTT_Alt,0.01,10.0,100,0.01636387464633846
QTT_Alt,0.01,10.0,150,0.0010875330943124978
QTT_Alt,0.01,10.0,200,0.00011491174745888423
QTT_Alt,0.01,10.0,250,1.403328006606372e-5
QTT_Alt,0.01,10.0,300,1.3465563625379983e-6
QTT_Alt,0.01,50.0,20,0.756396065160912
QTT_Alt,0.01,50.0,50,0.28960009452546887
QTT_Alt,0.01,50.0,100,0.05631796700002019
QTT_Alt,0.01,50.0,150,0.01612981431813225
QTT_Alt,0.01,50.0,200,0.005631451563088661
