topo,maxbond,bytes
QTT_Seq,3,42256.0
QTT_Seq,6,50768.0
QTT_Seq,9,53656.0
QTT_Seq,12,53656.0
QTT_Seq,15,53656.0
QTT_Seq,18,53656.0
QTT_Seq,21,53656.0
QTT_Seq,24,53656.0
QTT_Seq,27,53656.0
QTT_Seq,30,53656.0
QTT_Seq,33,53656.0
QTT_Seq,36,53656.0
QTT_Seq,39,53656.0
QTT_Seq,42,53656.0
QTT_Seq,45,53656.0
QTT_Seq,48,53656.0
QTT_Seq,51,53656.0
QTT_Seq,54,53656.0
QTT_Seq,57,53656.0
QTT_Seq,60,53656.0
BTTN,3,38976.0
BTTN,6,46144.0
BTTN,9,49928.0
BTTN,12,51720.0
BTTN,15,52168.0
BTTN,18,52168.0
BTTN,21,52168.0
BTTN,24,52168.0
BTTN,27,52168.0
BTTN,30,52168.0
BTTN,33,52168.0
BTTN,36,52168.0
BTTN,39,52168.0
BTTN,42,52168.0
BTTN,45,52168.0
BTTN,48,52168.0
BTTN,51,52168.0
BTTN,54,52168.0
BTTN,57,52168.0
BTTN,60,52168.0
CTTN,3,42256.0
CTTN,6,50768.0
CTTN,9,53656.0
CTTN,12,53656.0
CTTN,15,53656.0
CTTN,18,53656.0
CTTN,21,53656.0
CTTN,24,53656.0
CTTN,27,53656.0
CTTN,30,53656.0
CTTN,33,53656.0
CTTN,36,53656.0
CTTN,39,53656.0
CTTN,42,53656.0
CTTN,45,53656.0
CTTN,48,53656.0
CTTN,51,53656.0
CTTN,54,53656.0
CTTN,57,53656.0
CTTN,60,53656.0
QTT_Int,3,42256.0
QTT_Int,6,50768.0
QTT_Int,9,53656.0
QTT_Int,12,53656.0
QTT_Int,15,53656.0
QTT_Int,18,53656.0
QTT_Int,21,53656.0
QTT_Int,24,53656.0
QTT_Int,27,53656.0
QTT_Int,30,53656.0
QTT_Int,33,53656.0
QTT_Int,36,53656.0
QTT_Int,39,53656.0
QTT_Int,42,53656.0
QTT_Int,45,53656.0
QTT_Int,48,53656.0
QTT_Int,51,53656.0
QTT_Int,54,53656.0
QTT_Int,57,53656.0
QTT_Int,60,53656.0
