topo,maxbond,value
QTT_Seq,3,2.4783508974777737
QTT_Seq,6,2.103302222051991
QTT_Seq,9,1.3606963648055965
QTT_Seq,12,0.9385201619139537
QTT_Seq,15,0.5755315114043438
QTT_Seq,18,0.22664518640720718
QTT_Seq,21,0.005350196366727987
QTT_Seq,24,1.605973969483013e-6
QTT_Seq,27,3.448219852635899e-8
QTT_Seq,30,3.6393767549798257e-8
QTT_Seq,33,3.3730398702334216e-8
QTT_Seq,36,3.344043251058163e-8
QTT_Seq,39,3.4849705958078444e-8
QTT_Seq,42,3.4964550536877544e-8
QTT_Seq,45,3.495784972075281e-8
QTT_Seq,48,3.69809805543603e-8
QTT_Seq,51,3.499534212229687e-8
QTT_Seq,54,3.3587495441994574e-8
QTT_Seq,57,3.622086311527023e-8
QTT_Seq,60,3.4173926356860336e-8
BTTN,3,2.382355944643087
BTTN,6,1.3108545158454703
BTTN,9,0.7402631307779547
BTTN,12,0.2745818611851212
BTTN,15,0.003633010953150603
BTTN,18,1.2752426957543909e-5
BTTN,21,3.687872598651782e-8
BTTN,24,3.700242803533673e-8
BTTN,27,3.4023064004766976e-8
BTTN,30,3.3019322437230145e-8
BTTN,33,3.573273842490642e-8
BTTN,36,3.475226919497977e-8
BTTN,39,3.4938833811374093e-8
BTTN,42,3.593777600817893e-8
BTTN,45,3.55108768533511e-8
BTTN,48,3.365115724914339e-8
BTTN,51,3.4118770695225766e-8
BTTN,54,3.23755192888249e-8
BTTN,57,3.673700092016283e-8
BTTN,60,3.1906122364651344e-8
CTTN,3,2.679971779857851
CTTN,6,1.6793880812445368
CTTN,9,0.9246217003043253
CTTN,12,0.3349767587815216
CTTN,15,0.003609806381750326
CTTN,18,4.110457501055237e-5
CTTN,21,4.200357779563131e-8
CTTN,24,4.2223028931781534e-8
CTTN,27,3.95884063228648e-8
CTTN,30,4.2230300080673725e-8
CTTN,33,4.219643740102446e-8
CTTN,36,4.139752305644135e-8
CTTN,39,4.079684437771755e-8
CTTN,42,4.049952153391311e-8
CTTN,45,3.893123534495779e-8
CTTN,48,4.078960141058914e-8
CTTN,51,4.3166138027003756e-8
CTTN,54,4.293353130033466e-8
CTTN,57,4.083760108338809e-8
CTTN,60,3.86665026782659e-8
QTT_Int,3,2.5928036731456428
QTT_Int,6,2.5986052105075546
QTT_Int,9,1.4000168556173298
QTT_Int,12,0.8636134962952253
QTT_Int,15,0.4701751686085804
QTT_Int,18,0.15770014679293018
QTT_Int,21,0.04135006189912596
QTT_Int,24,0.017030212209450595
QTT_Int,27,0.004765964000651958
QTT_Int,30,0.00044308258478976254
QTT_Int,33,4.7780081421275057e-5
QTT_Int,36,1.2943294283253864e-5
QTT_Int,39,1.1757725888003272e-6
QTT_Int,42,2.7089987961058164e-7
QTT_Int,45,1.1299425138069745e-7
QTT_Int,48,9.379471648720412e-8
QTT_Int,51,9.536071260847316e-8
QTT_Int,54,9.713593859614518e-8
QTT_Int,57,9.244226552777303e-8
QTT_Int,60,9.419553041224845e-8
