topo,maxbond,value
QTT_Seq,3,2.848606811542004
QTT_Seq,6,3.0034262401251617
QTT_Seq,9,3.1020940008635054
QTT_Seq,12,3.100499853398819
QTT_Seq,15,2.7166360736828636
QTT_Seq,18,2.65577650358956
QTT_Seq,21,2.2964977579633707
QTT_Seq,24,1.8409751322450763
QTT_Seq,27,1.5944606801942978
QTT_Seq,30,1.2336867997933796
QTT_Seq,33,0.7095319262419186
QTT_Seq,36,0.3920705503805768
QTT_Seq,39,0.18746581053358158
QTT_Seq,42,0.04428820815558228
QTT_Seq,45,0.015439113936878357
QTT_Seq,48,0.002284834085866245
QTT_Seq,51,0.0001686891992261338
QTT_Seq,54,2.794746000223735e-6
QTT_Seq,57,4.924302529057835e-7
QTT_Seq,60,3.917204394901751e-7
BTTN,3,3.095085946812187
BTTN,6,2.5645805654308345
BTTN,9,2.219119955376266
BTTN,12,1.4697178154886619
BTTN,15,0.8903195068795376
BTTN,18,0.3675851779810018
BTTN,21,0.010755338591134485
BTTN,24,5.856221067393997e-5
BTTN,27,3.829733194266837e-7
BTTN,30,3.309126506265917e-8
BTTN,33,3.297672862294116e-8
BTTN,36,3.118276942224753e-8
BTTN,39,3.2930924079080374e-8
BTTN,42,3.393796437871322e-8
BTTN,45,3.449725578512711e-8
BTTN,48,3.5050771112318975e-8
BTTN,51,3.375659386180632e-8
BTTN,54,3.3864729314184335e-8
BTTN,57,3.320651725128958e-8
BTTN,60,3.345376696908646e-8
CTTN,3,3.1127629046231085
CTTN,6,2.960283644341759
CTTN,9,2.244154384453839
CTTN,12,1.5176435671585928
CTTN,15,0.8921918531775948
CTTN,18,0.3679996883855576
CTTN,21,0.011001381083078732
CTTN,24,4.954929330108634e-5
CTTN,27,4.4848174853417184e-7
CTTN,30,8.769324310816794e-8
CTTN,33,8.847138515880015e-8
CTTN,36,8.61323710869815e-8
CTTN,39,8.701472802922529e-8
CTTN,42,8.647819560858193e-8
CTTN,45,8.686526916773821e-8
CTTN,48,8.875305069002727e-8
CTTN,51,9.129315624547066e-8
CTTN,54,8.766307750303001e-8
CTTN,57,8.64229753098399e-8
CTTN,60,8.806893183937407e-8
QTT_Int,3,3.216923923349721
QTT_Int,6,2.8960458278548966
QTT_Int,9,2.844893470090332
QTT_Int,12,2.9609307721107534
QTT_Int,15,3.254154807840679
QTT_Int,18,2.8251375608576828
QTT_Int,21,2.8149270023922406
QTT_Int,24,2.650243038245274
QTT_Int,27,2.0772833449397496
QTT_Int,30,1.6311555150448702
QTT_Int,33,1.3054180766140822
QTT_Int,36,0.8986587326192716
QTT_Int,39,0.7071947439928511
QTT_Int,42,0.4801747259788673
QTT_Int,45,0.21614429795321594
QTT_Int,48,0.09739889173886182
QTT_Int,51,0.03264978546585211
QTT_Int,54,0.003856500595766569
QTT_Int,57,0.00026467449293810077
QTT_Int,60,2.1133295318075666e-7
