topo,maxbond,bytes
QTT_Seq,3,288944.0
QTT_Seq,6,399344.0
QTT_Seq,9,498424.0
QTT_Seq,12,589624.0
QTT_Seq,15,677944.0
QTT_Seq,18,762424.0
QTT_Seq,21,844984.0
QTT_Seq,24,896824.0
QTT_Seq,27,938104.0
QTT_Seq,30,985144.0
QTT_Seq,33,1.026424e6
QTT_Seq,36,1.073304e6
QTT_Seq,39,1.113624e6
QTT_Seq,42,1.151064e6
QTT_Seq,45,1.189464e6
QTT_Seq,48,1.217304e6
QTT_Seq,51,1.233624e6
QTT_Seq,54,1.256664e6
QTT_Seq,57,1.267224e6
QTT_Seq,60,1.263384e6
BTTN,3,263920.0
BTTN,6,316720.0
BTTN,9,345720.0
BTTN,12,363000.0
BTTN,15,376440.0
BTTN,18,385080.0
BTTN,21,390840.0
BTTN,24,395640.0
BTTN,27,402360.0
BTTN,30,404280.0
BTTN,33,404280.0
BTTN,36,404280.0
BTTN,39,404280.0
BTTN,42,404280.0
BTTN,45,404280.0
BTTN,48,404280.0
BTTN,51,404280.0
BTTN,54,404280.0
BTTN,57,404280.0
BTTN,60,404280.0
CTTN,3,291664.0
CTTN,6,369424.0
CTTN,9,413784.0
CTTN,12,441624.0
CTTN,15,460824.0
CTTN,18,473304.0
CTTN,21,483864.0
CTTN,24,489624.0
CTTN,27,493464.0
CTTN,30,496344.0
CTTN,33,496344.0
CTTN,36,496344.0
CTTN,39,496344.0
CTTN,42,496344.0
CTTN,45,496344.0
CTTN,48,496344.0
CTTN,51,496344.0
CTTN,54,496344.0
CTTN,57,496344.0
CTTN,60,496344.0
QTT_Int,3,288944.0
QTT_Int,6,414704.0
QTT_Int,9,533944.0
QTT_Int,12,635704.0
QTT_Int,15,726904.0
QTT_Int,18,804664.0
QTT_Int,21,881464.0
QTT_Int,24,954424.0
QTT_Int,27,1.019704e6
QTT_Int,30,1.083064e6
QTT_Int,33,1.137784e6
QTT_Int,36,1.192344e6
QTT_Int,39,1.235544e6
QTT_Int,42,1.286424e6
QTT_Int,45,1.331544e6
QTT_Int,48,1.366104e6
QTT_Int,51,1.409304e6
QTT_Int,54,1.442904e6
QTT_Int,57,1.471704e6
QTT_Int,60,1.491864e6
